Images may be subject to copyright.	Las imágenes pueden estar protegidas por derechos de autor.
Try more general keywords.	Intenta usar palabras más generales.
Make sure all words are spelled correctly.	Comprueba que todas las palabras están escritas correctamente.
Click for video information	Haz clic para ver la información en vídeo
Click for product information	Haz clic para ver la información sobre el producto
Check website for latest pricing and availability.	Accede al sitio web para consultar la disponibilidad y el precio más reciente.
Tap and hold to copy link	Mantén pulsado el enlace para copiarlo
Tap to copy link	Toca para copiar el enlace
Looks like this collection is empty	Parece que esta colección está vacía
Bring back cards you removed	Recuperar las tarjetas que has quitado
Stop seeing certain cards	Dejar de ver determinadas tarjetas
Anyone with the link can see this collection	Cualquier usuario que tenga el enlace puede ver esta colección.
Only you can see this collection	Solo tú puedes ver esta colección.
Tap a match to see player stats	Toca un partido para ver estadísticas de los jugadores
Failed to change your settings. Try again later.	No se ha podido cambiar tu configuración. Inténtalo de nuevo más tarde.
To get alerts, notifications should be turned on in both Google app and device settings.	Para recibirlas, las notificaciones deben estar activadas en la aplicación de Google y en la configuración del dispositivo.
Keep your Google Account secure: Get real-time security alerts directly on your device.	Protege tu cuenta de Google: recibe directamente en tu dispositivo alertas de seguridad en tiempo real.
Unfollowing will remove this collection from your list of collections.	Si dejas de seguir esta colección, se quitará de tu lista de colecciones.
Full time · See stats, news, and more	Fin del partido · Consulta estadísticas, noticias y mucho más
Send us your video content	Envíanos tu contenido de vídeo.
Harness the power of GIFs to reach an engaged audience of 350M+ people.	Aprovecha el potencial de los GIF para llegar a una audiencia participativa de más de 350 millones de personas.
Only you can see your personal results.	Solo tú puedes ver el contenido personal.
To include an app in search results, tap it again.	Para incluir una aplicación en los resultados de búsqueda, tócala de nuevo.
How your app info stays private	Por qué la información de las aplicaciones sigue siendo privada
To remove an app from search results, tap it.	Si quieres quitar una aplicación de los resultados de búsqueda, tócala.
When you search in apps on your phone, you can see:	Cuando haces búsquedas en las aplicaciones de tu teléfono, puedes ver lo siguiente:
In the search box, type what you’re looking for.	En el cuadro de búsqueda, escribe tu consulta.
Tap the language you want to view the translation.	Toca el idioma en el que quieras ver la traducción.
This field is required.	Este campo es obligatorio.
Sign in to save jobs	Para guardar ofertas de trabajo, inicia sesión
Only you and your parent can see this data. Google protects your privacy and security.	Solamente tú y tus padres podéis ver estos datos. Google protege tu privacidad y seguridad.
Only you can see this data. Google protects your privacy and security.	Solo tú puedes ver estos datos. Google protege tu privacidad y seguridad.
Search business class flights	Buscar vuelos en clase business
Send feedback to Google	Envía comentarios a Google
Related to your search	Relacionados con tus búsquedas
Unable to share collection. Please check your popup blocker.	No se ha podido compartir la colección. Comprueba el estado de tu bloqueador de ventanas emergentes.
Sao Tome and Principe	Santo Tomé y Príncipe
Saint Kitts and Nevis	San Cristóbal y Nieves
Saint Pierre and Miquelon	San Pedro y Miquelón
Bonaire, Sint Eustatius, and Saba	Bonaire, San Eustaquio y Saba
My SafeSearch setting keeps turning off	La función Búsqueda Segura se desactiva sola
If you allow cookies, SafeSearch should stay on.	Si permites las cookies, Búsqueda Segura debería permanecer activada.
Block explicit results on Google using SafeSearch	Bloquear resultados con contenido explícito en Google mediante Búsqueda Segura
Find widgets on Google Play	Buscar widgets en Google Play
Notices about Filtered Results	Avisos sobre resultados filtrados
A label showing the percentage change in price.	Etiqueta en la que se muestra el porcentaje de cambio en el precio.
This reminder has been deleted. Please refresh the browser to view the updated list.	Se ha eliminado este recordatorio. Actualiza el navegador para ver la lista modificada.
From your Gmail reservation	De tu reserva de Gmail
You can delete all of this data or change this setting.	Puedes eliminar todos estos datos o cambiar el ajuste.
Select one from the following list of service providers	Selecciona una opción de la siguiente lista de proveedores de servicios
Google Search Page Header	Encabezado de la página de la Búsqueda de Google
Search for a company or symbol	Buscar una empresa o un símbolo
Keep track of your watchlist and watch how it performs	Controla tu lista de seguimiento y observa cómo evoluciona
Unable to share collection	No se puede compartir la colección
Stories must be a least four pages	Las noticias deben tener al menos cuatro páginas
Final · See stats, news, and more	Finalizado · Consulta estadísticas, noticias y mucho más
Get it on Google Play	Descargar de Google Play
Data shared for research	Datos compartidos para la investigación
See and delete your preferences about News.	Consulta y elimina tus preferencias de Noticias.
Manage music you’ve identified with the Sound Search widget.	Gestiona la música que hayas identificado con el widget Sound Search.
View YouTube Community posts	Ver publicaciones de la comunidad de YouTube
Manage Google Play Sound Search History	Gestionar el historial de Sound Search de Google Play
Google Play Sound Search History	Historial de Sound Search de Google Play
Comments on YouTube Community posts	Comentarios en publicaciones de la comunidad de YouTube
Comments on YouTube videos	Comentarios en vídeos de YouTube
See and delete your answers to survey questions from Google.	Consulta y elimina tus respuestas a encuestas de Google.
Teams and leagues you follow	Equipos y ligas que sigues
A performance comparison of financial entities, composed of table and chart.	Una comparación del rendimiento de entidades financieras que incluye una tabla y un gráfico.
A table showing the prices at the selected time point in the chart.	Una tabla que muestra los precios en el periodo seleccionado en el gráfico.
Your answers will improve Search for other people. Learn more.	Tus respuestas ayudan a mejorar la Búsqueda para todos los usuarios. Más información
You suggested this change. Edit?	Esta es tu sugerencia. ¿Quieres cambiarla?
Improve the language on this page	Mejorar los textos en este idioma
Manage your Google Tag Manager container versions	Administrar las versiones de tus contenedores de Google Tag Manager
View monetary and non-monetary YouTube Analytics reports for your YouTube content	Ver informes económicos y no económicos de YouTube Analytics de tu contenido de YouTube
View YouTube Analytics reports for your YouTube content	Permite ver informes de YouTube Analytics sobre su contenido de YouTube.
View your Google Tag Manager container and its subcomponents	Consultar tu contenedor de Google Tag Manager y sus subcomponentes
Manage user permissions of your Google Tag Manager account and container	Administrar los permisos de los usuarios de tu cuenta y contenedor de Google Tag Manager
Publish your Google Tag Manager container versions	Publicar las versiones de tu contenedor de Google Tag Manager
View and manage creatives and campaigns for DoubleClick Studio	Permite visualizar y administrar creatividades y campañas de DoubleClick Studio.
Delete your Google Tag Manager containers	Eliminar tus contenedores de Google Tag Manager
View creatives and campaigns for DoubleClick Studio	Permite visualizar creatividades y campañas de DoubleClick Studio.
View and manage your Google Tag Manager accounts	Consultar y administrar tus cuentas de Google Tag Manager
Tap a match to see scores, stats, and more	Toca un partido para ver resultados, estadísticas y mucho más
Type a name, phone, or email	Nombre, teléfono o correo
This site may be hacked.	Este sitio web puede haber sido pirateado.
Update your featured image on Search	Actualiza tu imagen destacada en la Búsqueda
Saved items will be added to this collection	Los elementos guardados se añadirán a esta colección
Open in Google Podcasts	Abrir en Podcasts de Google
Your Site on Google	Tu sitio web en Google
Your activity, while you were signed in to Google.	Tu actividad con la sesión iniciada en tu cuenta de Google.
Add a Finance shortcut to your Home screen	Añade un acceso directo de Finance a tu pantalla de inicio
How your saved activity is used	Cómo se utiliza tu actividad guardada
To let Google save this information:	Para permitir que Google guarde esta información:
Your Chrome browsing history	Tu historial de navegación de Chrome
Information on your device like recent apps or contact names you searched for	Información sobre tu dispositivo, como aplicaciones recientes o nombres de contacto que has buscado
See or delete your search activity	Ver o eliminar la actividad de búsqueda
*Not all languages are supported.	* No todos los idiomas están disponibles.
Therefore, these pages are no longer accessible from Google search.	Por lo tanto, ya no es posible acceder a ellas desde una búsqueda en Google.
Watch the most memorable moments of the tournament	Mira los momentos más memorables del torneo
Add a missing place to Google Maps.	Añadir un sitio que falta a Google Maps
Lifetime on most items	Permanente para la mayoría de los artículos
Tin Tan’s 103rd Birthday	103.º aniversario del nacimiento de Tin Tan
Professor Dorothy Hill’s 111th Birthday	111.º aniversario del nacimiento de la profesora Dorothy Hill
Josefa Llanes Escoda’s 120th Birthday	120.º aniversario del nacimiento de Josefa Llanes Escoda
Junko Tabei’s 79th Birthday	79.º aniversario del nacimiento de Junko Tabei
Joanna Baillie’s 256th Birthday	256.º aniversario del nacimiento de Joanna Baillie
Fatima Surayya Bajia’s 88th Birthday	88.º aniversario del nacimiento de Fatima Surayya Bajia
your One Drive account	tu cuenta de OneDrive
